Company Name,Industry,Symbol,Series,ISIN Code
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01015
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Reliance Power Ltd.,Power,RPOWER,BE,INE614G01033
Sagility India Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Swan Energy Ltd.,Chemicals,SWANENERGY,EQ,INE665A01038
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,BE,INE517B01013
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
